"Name","PolicyType","Mode","DisplayName","Description","Parameters","PolicyRuleIf","PolicyRuleThen"
"Deploy-Diagnostics-WebServerFarm","Custom","Indexed","[Deprecated]: Deploy Diagnostic Settings for App Service Plan to Log Analytics workspace","Deploys the diagnostic settings for App Service Plan to stream to a Log Analytics workspace when any App Service Plan which is missing this diagnostic settings is created or updated. This policy is superseded by built-in initiative https://www.azadvertizer.net/azpolicyinitiativesadvertizer/0884adba-2312-4468-abeb-5422caed1038.html.","logAnalytics.type=String;
logAnalytics.metadata.displayName=Log Analytics workspace;
logAnalytics.metadata.description=Select Log Analytics workspace from dropdown list. If this workspace is outside of the scope of the assignment you must manually grant 'Log Analytics Contributor' permissions (or similar) to the policy assignment's principal ID.;
logAnalytics.metadata.strongType=omsWorkspace;
effect.type=String;
effect.defaultValue=DeployIfNotExists;
effect.allowedValues=DeployIfNotExists Disabled;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy;
profileName.type=String;
profileName.defaultValue=setbypolicy;
profileName.metadata.displayName=Profile name;
profileName.metadata.description=The diagnostic settings profile name;
metricsEnabled.type=String;
metricsEnabled.defaultValue=True;
metricsEnabled.allowedValues=True False;
metricsEnabled.metadata.displayName=Enable metrics;
metricsEnabled.metadata.description=Whether to enable metrics stream to the Log Analytics workspace - True or False","field=type;
equals=Microsoft.Web/serverfarms","field=type;
equals=Microsoft.Web/serverfarms"
"Deploy-Diagnostics-Website","Custom","Indexed","[Deprecated]: Deploy Diagnostic Settings for App Service to Log Analytics workspace","Deploys the diagnostic settings for Web App to stream to a Log Analytics workspace when any Web App which is missing this diagnostic settings is created or updated. This policy is superseded by built-in initiative https://www.azadvertizer.net/azpolicyinitiativesadvertizer/0884adba-2312-4468-abeb-5422caed1038.html.","logAnalytics.type=String;
logAnalytics.metadata.displayName=Log Analytics workspace;
logAnalytics.metadata.description=Select Log Analytics workspace from dropdown list. If this workspace is outside of the scope of the assignment you must manually grant 'Log Analytics Contributor' permissions (or similar) to the policy assignment's principal ID.;
logAnalytics.metadata.strongType=omsWorkspace;
effect.type=String;
effect.defaultValue=DeployIfNotExists;
effect.allowedValues=DeployIfNotExists Disabled;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy;
profileName.type=String;
profileName.defaultValue=setbypolicy;
profileName.metadata.displayName=Profile name;
profileName.metadata.description=The diagnostic settings profile name;
metricsEnabled.type=String;
metricsEnabled.defaultValue=True;
metricsEnabled.allowedValues=True False;
metricsEnabled.metadata.displayName=Enable metrics;
metricsEnabled.metadata.description=Whether to enable metrics stream to the Log Analytics workspace - True or False;
logsEnabled.type=String;
logsEnabled.defaultValue=True;
logsEnabled.allowedValues=True False;
logsEnabled.metadata.displayName=Enable logs;
logsEnabled.metadata.description=Whether to enable logs stream to the Log Analytics workspace - True or False","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deploy-Diagnostics-WVDAppGroup","Custom","Indexed","[Deprecated]: Deploy Diagnostic Settings for AVD Application group to Log Analytics workspace","Deploys the diagnostic settings for AVD Application group to stream to a Log Analytics workspace when any application group which is missing this diagnostic settings is created or updated. This policy is superseded by built-in initiative https://www.azadvertizer.net/azpolicyinitiativesadvertizer/0884adba-2312-4468-abeb-5422caed1038.html.","logAnalytics.type=String;
logAnalytics.metadata.displayName=Log Analytics workspace;
logAnalytics.metadata.description=Select Log Analytics workspace from dropdown list. If this workspace is outside of the scope of the assignment you must manually grant 'Log Analytics Contributor' permissions (or similar) to the policy assignment's principal ID.;
logAnalytics.metadata.strongType=omsWorkspace;
effect.type=String;
effect.defaultValue=DeployIfNotExists;
effect.allowedValues=DeployIfNotExists Disabled;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy;
profileName.type=String;
profileName.defaultValue=setbypolicy;
profileName.metadata.displayName=Profile name;
profileName.metadata.description=The diagnostic settings profile name;
logsEnabled.type=String;
logsEnabled.defaultValue=True;
logsEnabled.allowedValues=True False;
logsEnabled.metadata.displayName=Enable logs;
logsEnabled.metadata.description=Whether to enable logs stream to the Log Analytics workspace - True or False","field=type;
equals=Microsoft.DesktopVirtualization/applicationGroups","field=type;
equals=Microsoft.DesktopVirtualization/applicationGroups"
"Deploy-Diagnostics-WVDHostPools","Custom","Indexed","[Deprecated]: Deploy Diagnostic Settings for AVD Host Pools to Log Analytics workspace","Deploys the diagnostic settings for AVD Host Pools to stream to a Log Analytics workspace when any Host Pools which is missing this diagnostic settings is created or updated. This policy is superseded by built-in initiative https://www.azadvertizer.net/azpolicyinitiativesadvertizer/0884adba-2312-4468-abeb-5422caed1038.html.","logAnalytics.type=String;
logAnalytics.metadata.displayName=Log Analytics workspace;
logAnalytics.metadata.description=Select Log Analytics workspace from dropdown list. If this workspace is outside of the scope of the assignment you must manually grant 'Log Analytics Contributor' permissions (or similar) to the policy assignment's principal ID.;
logAnalytics.metadata.strongType=omsWorkspace;
effect.type=String;
effect.defaultValue=DeployIfNotExists;
effect.allowedValues=DeployIfNotExists Disabled;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy;
profileName.type=String;
profileName.defaultValue=setbypolicy;
profileName.metadata.displayName=Profile name;
profileName.metadata.description=The diagnostic settings profile name;
logsEnabled.type=String;
logsEnabled.defaultValue=True;
logsEnabled.allowedValues=True False;
logsEnabled.metadata.displayName=Enable logs;
logsEnabled.metadata.description=Whether to enable logs stream to the Log Analytics workspace - True or False","field=type;
equals=Microsoft.DesktopVirtualization/hostpools","field=type;
equals=Microsoft.DesktopVirtualization/hostpools"
"Deny-Delete-Recovery-Services-Vaults","Custom","Indexed","Deny resource deletion for Recovery Services Vaults","This policy denies resource deletion for Recovery Services Vaults.","","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deploy-Diagnostics-WVDWorkspace","Custom","Indexed","[Deprecated]: Deploy Diagnostic Settings for AVD Workspace to Log Analytics workspace","Deploys the diagnostic settings for AVD Workspace to stream to a Log Analytics workspace when any Workspace which is missing this diagnostic settings is created or updated. This policy is superseded by built-in initiative https://www.azadvertizer.net/azpolicyinitiativesadvertizer/0884adba-2312-4468-abeb-5422caed1038.html.","logAnalytics.type=String;
logAnalytics.metadata.displayName=Log Analytics workspace;
logAnalytics.metadata.description=Select Log Analytics workspace from dropdown list. If this workspace is outside of the scope of the assignment you must manually grant 'Log Analytics Contributor' permissions (or similar) to the policy assignment's principal ID.;
logAnalytics.metadata.strongType=omsWorkspace;
effect.type=String;
effect.defaultValue=DeployIfNotExists;
effect.allowedValues=DeployIfNotExists Disabled;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy;
profileName.type=String;
profileName.defaultValue=setbypolicy;
profileName.metadata.displayName=Profile name;
profileName.metadata.description=The diagnostic settings profile name;
logsEnabled.type=String;
logsEnabled.defaultValue=True;
logsEnabled.allowedValues=True False;
logsEnabled.metadata.displayName=Enable logs;
logsEnabled.metadata.description=Whether to enable logs stream to the Log Analytics workspace - True or False","field=type;
equals=Microsoft.DesktopVirtualization/workspaces","field=type;
equals=Microsoft.DesktopVirtualization/workspaces"
"Deploy-FirewallPolicy","Custom","All","Deploy Azure Firewall Manager policy in the subscription","Deploys Azure Firewall Manager policy in subscription where the policy is assigned.","fwpolicy.type=Object;
fwpolicy.metadata.displayName=fwpolicy;
fwpolicy.metadata.description=Object describing Azure Firewall Policy;
fwPolicyRegion.type=String;
fwPolicyRegion.metadata.displayName=fwPolicyRegion;
fwPolicyRegion.metadata.description=Select Azure region for Azure Firewall Policy;
fwPolicyRegion.metadata.strongType=location;
rgName.type=String;
rgName.metadata.displayName=rgName;
rgName.metadata.description=Provide name for resource group.;
effect.type=String;
effect.defaultValue=DeployIfNotExists;
effect.allowedValues=DeployIfNotExists Disabled;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy","allOf=System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable"
"Deploy-LogicApp-TLS","Custom","Indexed","Configure Logic apps to use the latest TLS version","Periodically, newer versions are released for TLS either due to security flaws, include additional functionality, and enhance speed. Upgrade to the latest TLS version for Function apps to take advantage of security fixes, if any, and/or new functionalities of the latest version.","effect.type=String;
effect.allowedValues=DeployIfNotExists Disabled;
effect.defaultValue=DeployIfNotExists;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deploy-MDFC-Arc-SQL-DCR-Association","Custom","Indexed","[Deprecated]: Configure Arc-enabled SQL Servers with DCR Association to Microsoft Defender for SQL user-defined DCR","Policy is deprecated as the built-in policy now supports bringing your own UAMI and DCR. Superseded by https://www.azadvertizer.net/azpolicyadvertizer/2227e1f1-23dd-4c3a-85a9-7024a401d8b2.html","effect.type=String;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy;
effect.allowedValues=DeployIfNotExists Disabled;
effect.defaultValue=DeployIfNotExists;
workspaceRegion.type=String;
workspaceRegion.metadata.displayName=Workspace region;
workspaceRegion.metadata.description=Region of the Log Analytics workspace destination for the Data Collection Rule.;
workspaceRegion.metadata.strongType=location;
dcrName.type=String;
dcrName.metadata.displayName=Data Collection Rule Name;
dcrName.metadata.description=Name of the Data Collection Rule.;
dcrResourceGroup.type=String;
dcrResourceGroup.metadata.displayName=Data Collection Rule Resource Group;
dcrResourceGroup.metadata.description=Resource Group of the Data Collection Rule.;
dcrId.type=String;
dcrId.metadata.displayName=Data Collection Rule Id;
dcrId.metadata.description=Id of the Data Collection Rule.","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deploy-MDFC-Arc-Sql-DefenderSQL-DCR","Custom","Indexed","[Deprecated]: Configure Arc-enabled SQL Servers to auto install Microsoft Defender for SQL and DCR with a user-defined LAW","Policy is deprecated as the built-in policy now supports bringing your own UAMI and DCR. Superseded by https://www.azadvertizer.net/azpolicyadvertizer/63d03cbd-47fd-4ee1-8a1c-9ddf07303de0.html","effect.type=String;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy;
effect.allowedValues=DeployIfNotExists Disabled;
effect.defaultValue=DeployIfNotExists;
userWorkspaceResourceId.type=String;
userWorkspaceResourceId.metadata.displayName=Workspace Resource Id;
userWorkspaceResourceId.metadata.description=Workspace resource Id of the Log Analytics workspace destination for the Data Collection Rule.;
userWorkspaceResourceId.metadata.strongType=omsWorkspace;
workspaceRegion.type=String;
workspaceRegion.metadata.displayName=Workspace region;
workspaceRegion.metadata.description=Region of the Log Analytics workspace destination for the Data Collection Rule.;
workspaceRegion.metadata.strongType=location;
enableCollectionOfSqlQueriesForSecurityResearch.type=Boolean;
enableCollectionOfSqlQueriesForSecurityResearch.metadata.displayName=Enable collection of SQL queries for security research;
enableCollectionOfSqlQueriesForSecurityResearch.metadata.description=Enable or disable the collection of SQL queries for security research.;
enableCollectionOfSqlQueriesForSecurityResearch.allowedValues=True False;
enableCollectionOfSqlQueriesForSecurityResearch.defaultValue=False;
dcrName.type=String;
dcrName.metadata.displayName=Data Collection Rule Name;
dcrName.metadata.description=Name of the Data Collection Rule.;
dcrResourceGroup.type=String;
dcrResourceGroup.metadata.displayName=Data Collection Rule Resource Group;
dcrResourceGroup.metadata.description=Resource Group of the Data Collection Rule.;
dcrId.type=String;
dcrId.metadata.displayName=Data Collection Rule Id;
dcrId.metadata.description=Id of the Data Collection Rule.","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deploy-MDFC-SQL-AMA","Custom","Indexed","[Deprecated]: Configure SQL Virtual Machines to automatically install Azure Monitor Agent","Policy is deprecated as the built-in policy now supports bringing your own UAMI and DCR. Superseded by https://www.azadvertizer.net/azpolicyadvertizer/f91991d1-5383-4c95-8ee5-5ac423dd8bb1.html","effect.type=String;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy;
effect.allowedValues=DeployIfNotExists Disabled;
effect.defaultValue=DeployIfNotExists;
identityResourceGroup.type=String;
identityResourceGroup.metadata.displayName=Identity Resource Group;
identityResourceGroup.metadata.description=The name of the resource group created by the policy.;
identityResourceGroup.defaultValue=;
userAssignedIdentityName.type=String;
userAssignedIdentityName.metadata.displayName=User Assigned Managed Identity Name;
userAssignedIdentityName.metadata.description=The name of the user assigned managed identity.;
userAssignedIdentityName.defaultValue=","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deploy-MDFC-SQL-DefenderSQL-DCR","Custom","Indexed","[Deprecated]: Configure SQL Virtual Machines to auto install Microsoft Defender for SQL and DCR with a user-defined LAW","Policy is deprecated as the built-in policy now supports bringing your own UAMI and DCR. Superseded by https://www.azadvertizer.net/azpolicyadvertizer/04754ef9-9ae3-4477-bf17-86ef50026304.html","effect.type=String;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy;
effect.allowedValues=DeployIfNotExists Disabled;
effect.defaultValue=DeployIfNotExists;
userWorkspaceResourceId.type=String;
userWorkspaceResourceId.metadata.displayName=Workspace Resource Id;
userWorkspaceResourceId.metadata.description=Workspace resource Id of the Log Analytics workspace destination for the Data Collection Rule.;
userWorkspaceResourceId.metadata.strongType=omsWorkspace;
workspaceRegion.type=String;
workspaceRegion.metadata.displayName=Workspace region;
workspaceRegion.metadata.description=Region of the Log Analytics workspace destination for the Data Collection Rule.;
workspaceRegion.metadata.strongType=location;
enableCollectionOfSqlQueriesForSecurityResearch.type=Boolean;
enableCollectionOfSqlQueriesForSecurityResearch.metadata.displayName=Enable collection of SQL queries for security research;
enableCollectionOfSqlQueriesForSecurityResearch.metadata.description=Enable or disable the collection of SQL queries for security research.;
enableCollectionOfSqlQueriesForSecurityResearch.allowedValues=True False;
enableCollectionOfSqlQueriesForSecurityResearch.defaultValue=False;
dcrName.type=String;
dcrName.metadata.displayName=Data Collection Rule Name;
dcrName.metadata.description=Name of the Data Collection Rule.;
dcrResourceGroup.type=String;
dcrResourceGroup.metadata.displayName=Data Collection Rule Resource Group;
dcrResourceGroup.metadata.description=Resource Group of the Data Collection Rule.;
dcrId.type=String;
dcrId.metadata.displayName=Data Collection Rule Id;
dcrId.metadata.description=Id of the Data Collection Rule.","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deploy-MDFC-SQL-DefenderSQL","Custom","Indexed","[Deprecated]: Configure SQL Virtual Machines to automatically install Microsoft Defender for SQL","Policy is deprecated as the built-in policy now supports bringing your own UAMI and DCR. Superseded by https://www.azadvertizer.net/azpolicyadvertizer/ddca0ddc-4e9d-4bbb-92a1-f7c4dd7ef7ce.html","effect.type=String;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy;
effect.allowedValues=DeployIfNotExists Disabled;
effect.defaultValue=DeployIfNotExists;
workspaceRegion.type=String;
workspaceRegion.metadata.displayName=Workspace region;
workspaceRegion.metadata.description=Region of the Log Analytics workspace destination for the Data Collection Rule.;
workspaceRegion.metadata.strongType=location;
dcrName.type=String;
dcrName.metadata.displayName=Data Collection Rule Name;
dcrName.metadata.description=Name of the Data Collection Rule.;
dcrResourceGroup.type=String;
dcrResourceGroup.metadata.displayName=Data Collection Rule Resource Group;
dcrResourceGroup.metadata.description=Resource Group of the Data Collection Rule.;
dcrId.type=String;
dcrId.metadata.displayName=Data Collection Rule Id;
dcrId.metadata.description=Id of the Data Collection Rule.","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deploy-MySQL-sslEnforcement","Custom","Indexed","Azure Database for MySQL server deploy a specific min TLS version and enforce SSL.","Deploy a specific min TLS version requirement and enforce SSL on Azure Database for MySQL server. Enforce the Server to client applications using minimum version of Tls to secure the connection between your database server and your client applications helps protect against 'man in the middle' attacks by encrypting the data stream between the server and your application. This configuration enforces that SSL is always enabled for accessing your database server.","effect.type=String;
effect.defaultValue=DeployIfNotExists;
effect.allowedValues=DeployIfNotExists Disabled;
effect.metadata.displayName=Effect minimum TLS version Azure Database for MySQL server;
effect.metadata.description=Enable or disable the execution of the policy minimum TLS version Azure Database for MySQL server;
minimalTlsVersion.type=String;
minimalTlsVersion.defaultValue=TLS1_2;
minimalTlsVersion.allowedValues=TLS1_2 TLS1_0 TLS1_1 TLSEnforcementDisabled;
minimalTlsVersion.metadata.displayName=Select version minimum TLS for MySQL server;
minimalTlsVersion.metadata.description=Select version  minimum TLS version Azure Database for MySQL server to enforce","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deploy-Nsg-FlowLogs-to-LA","Custom","Indexed","[Deprecated] Deploys NSG flow logs and traffic analytics to Log Analytics","[Deprecated] Deprecated by built-in policy. Deploys NSG flow logs and traffic analytics to Log Analytics with a specified retention period. Superseded by https://www.azadvertizer.net/azpolicyadvertizer/e920df7f-9a64-4066-9b58-52684c02a091.html","retention.type=Integer;
retention.metadata.displayName=Retention;
retention.defaultValue=5;
interval.type=Integer;
interval.metadata.displayName=Traffic Analytics processing interval mins (10/60);
interval.defaultValue=60;
workspace.type=String;
workspace.metadata.strongType=omsWorkspace;
workspace.metadata.displayName=Resource ID of Log Analytics workspace;
workspace.metadata.description=Select Log Analytics workspace from dropdown list. If this workspace is outside of the scope of the assignment you must manually grant 'Log Analytics Contributor' permissions (or similar) to the policy assignment's principal ID.;
workspace.defaultValue=<workspace resource ID>;
effect.type=String;
effect.defaultValue=DeployIfNotExists;
effect.allowedValues=DeployIfNotExists Disabled;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy","allOf=System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable"
"Deny-Delete-Route-Tables","Custom","Indexed","Deny resource deletion for Route Tables","This policy denies resource deletion for Route Tables.","","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deploy-Nsg-FlowLogs","Custom","Indexed","[Deprecated] Deploys NSG flow logs and traffic analytics","[Deprecated] Deprecated by built-in policy. Deploys NSG flow logs and traffic analytics to a storageaccountid with a specified retention period. Superseded by https://www.azadvertizer.net/azpolicyadvertizer/e920df7f-9a64-4066-9b58-52684c02a091.html","retention.type=Integer;
retention.metadata.displayName=Retention;
retention.defaultValue=5;
storageAccountResourceId.type=String;
storageAccountResourceId.metadata.displayName=Storage Account Resource Id;
storageAccountResourceId.metadata.strongType=Microsoft.Storage/storageAccounts;
trafficAnalyticsInterval.type=Integer;
trafficAnalyticsInterval.metadata.displayName=Traffic Analytics processing interval mins (10/60);
trafficAnalyticsInterval.defaultValue=60;
flowAnalyticsEnabled.type=Boolean;
flowAnalyticsEnabled.metadata.displayName=Enable Traffic Analytics;
flowAnalyticsEnabled.defaultValue=False;
logAnalytics.type=String;
logAnalytics.metadata.strongType=omsWorkspace;
logAnalytics.metadata.displayName=Resource ID of Log Analytics workspace;
logAnalytics.metadata.description=Select Log Analytics workspace from dropdown list. If this workspace is outside of the scope of the assignment you must manually grant 'Log Analytics Contributor' permissions (or similar) to the policy assignment's principal ID.;
logAnalytics.defaultValue=;
effect.type=String;
effect.defaultValue=DeployIfNotExists;
effect.allowedValues=DeployIfNotExists Disabled;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy","field=type;
equals=Microsoft.Network/networkSecurityGroups","field=type;
equals=Microsoft.Network/networkSecurityGroups"
"Deploy-PostgreSQL-sslEnforcement","Custom","Indexed","Azure Database for PostgreSQL server deploy a specific min TLS version requirement and enforce SSL ","Deploy a specific min TLS version requirement and enforce SSL on Azure Database for PostgreSQL server. Enables secure server to client by enforce  minimal Tls Version to secure the connection between your database server and your client applications helps protect against 'man in the middle' attacks by encrypting the data stream between the server and your application. This configuration enforces that SSL is always enabled for accessing your database server.","effect.type=String;
effect.defaultValue=DeployIfNotExists;
effect.allowedValues=DeployIfNotExists Disabled;
effect.metadata.displayName=Effect Azure Database for PostgreSQL server;
effect.metadata.description=Enable or disable the execution of the policy minimum TLS version Azure Database for PostgreSQL server;
minimalTlsVersion.type=String;
minimalTlsVersion.defaultValue=TLS1_2;
minimalTlsVersion.allowedValues=TLS1_2 TLS1_0 TLS1_1 TLSEnforcementDisabled;
minimalTlsVersion.metadata.displayName=Select version for PostgreSQL server;
minimalTlsVersion.metadata.description=Select version minimum TLS version Azure Database for PostgreSQL server to enforce","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deploy-Private-DNS-Generic","Custom","All","Deploy-Private-DNS-Generic","Configure private DNS zone group to override the DNS resolution for PaaS services private endpoint. See https://aka.ms/pepdnszones for information on values to provide to parameters in this policy.","effect.type=String;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy;
effect.allowedValues=DeployIfNotExists Disabled;
effect.defaultValue=DeployIfNotExists;
privateDnsZoneId.type=String;
privateDnsZoneId.metadata.displayName=Private DNS Zone ID for PaaS services;
privateDnsZoneId.metadata.description=The private DNS zone name required for specific PaaS Services to resolve a private DNS Zone.;
privateDnsZoneId.metadata.strongType=Microsoft.Network/privateDnsZones;
privateDnsZoneId.metadata.assignPermissions=True;
resourceType.type=String;
resourceType.metadata.displayName=PaaS private endpoint resource type;
resourceType.metadata.description=The PaaS endpoint resource type.;
groupId.type=String;
groupId.metadata.displayName=PaaS Private endpoint group ID (subresource);
groupId.metadata.description=The group ID of the PaaS private endpoint. Also referred to as subresource.;
evaluationDelay.type=String;
evaluationDelay.metadata.displayName=Evaluation Delay;
evaluationDelay.metadata.description=The delay in evaluation of the policy. Review delay options at https://learn.microsoft.com/en-us/azure/governance/policy/concepts/effect-deploy-if-not-exists;
evaluationDelay.defaultValue=PT10M;
location.type=String;
location.metadata.displayName=Location (Specify the Private Endpoint location);
location.metadata.description=Specify the Private Endpoint location;
location.metadata.strongType=location;
location.defaultValue=northeurope","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deploy-Sql-AuditingSettings","Custom","Indexed","Deploy SQL database auditing settings","Deploy auditing settings to SQL Database when it not exist in the deployment","effect.type=String;
effect.defaultValue=DeployIfNotExists;
effect.allowedValues=DeployIfNotExists Disabled;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy","field=type;
equals=Microsoft.Sql/servers/databases","field=type;
equals=Microsoft.Sql/servers/databases"
"Deploy-SQL-minTLS","Custom","Indexed","SQL servers deploys a specific min TLS version requirement.","Deploys a specific min TLS version requirement and enforce SSL on SQL servers. Enables secure server to client by enforce  minimal Tls Version to secure the connection between your database server and your client applications helps protect against 'man in the middle' attacks by encrypting the data stream between the server and your application. This configuration enforces that SSL is always enabled for accessing your database server.","effect.type=String;
effect.defaultValue=DeployIfNotExists;
effect.allowedValues=DeployIfNotExists Disabled;
effect.metadata.displayName=Effect SQL servers;
effect.metadata.description=Enable or disable the execution of the policy minimum TLS version SQL servers;
minimalTlsVersion.type=String;
minimalTlsVersion.defaultValue=1.2;
minimalTlsVersion.allowedValues=1.2 1.1 1.0;
minimalTlsVersion.metadata.displayName=Select version for SQL server;
minimalTlsVersion.metadata.description=Select version minimum TLS version SQL servers to enforce","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deploy-Sql-SecurityAlertPolicies","Custom","Indexed","Deploy SQL Database security Alert Policies configuration with email admin accounts","Deploy the security Alert Policies configuration with email admin accounts when it not exist in current configuration","effect.type=String;
effect.defaultValue=DeployIfNotExists;
effect.allowedValues=DeployIfNotExists Disabled;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy;
emailAddresses.type=Array;
emailAddresses.defaultValue=admin@contoso.com admin@fabrikam.com","field=type;
equals=Microsoft.Sql/servers/databases","field=type;
equals=Microsoft.Sql/servers/databases"
"Deploy-Sql-Tde","Custom","Indexed","[Deprecated] Deploy SQL Database Transparent Data Encryption","Deploy the Transparent Data Encryption when it is not enabled in the deployment. Please use this policy instead https://www.azadvertizer.net/azpolicyadvertizer/86a912f6-9a06-4e26-b447-11b16ba8659f.html","effect.type=String;
effect.defaultValue=DeployIfNotExists;
effect.allowedValues=DeployIfNotExists Disabled;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy;
excludedDatabases.type=Array;
excludedDatabases.metadata.displayName=Excluded Databases;
excludedDatabases.metadata.description=Array of databases that are excluded from this policy;
excludedDatabases.defaultValue=master model tempdb msdb resource","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable","allOf=System.Management.Automation.OrderedHashtable System.Management.Automation.OrderedHashtable"
"Deploy-Sql-vulnerabilityAssessments_20230706","Custom","Indexed","Deploy SQL Database Vulnerability Assessments","Deploy SQL Database Vulnerability Assessments when it does not exist in the deployment, and save results to the storage account specified in the parameters.","vulnerabilityAssessmentsEmail.type=Array;
vulnerabilityAssessmentsEmail.metadata.description=The email address(es) to send alerts.;
vulnerabilityAssessmentsEmail.metadata.displayName=The email address(es) to send alerts.;
vulnerabilityAssessmentsStorageID.type=String;
vulnerabilityAssessmentsStorageID.metadata.description=The storage account ID to store assessments;
vulnerabilityAssessmentsStorageID.metadata.displayName=The storage account ID to store assessments;
vulnerabilityAssessmentsStorageID.metadata.assignPermissions=True;
effect.type=String;
effect.defaultValue=DeployIfNotExists;
effect.allowedValues=DeployIfNotExists Disabled;
effect.metadata.displayName=Effect;
effect.metadata.description=Enable or disable the execution of the policy","field=type;
equals=Microsoft.Sql/servers/databases","field=type;
equals=Microsoft.Sql/servers/databases"
